Order_ID,Order_Date,Region,Customer_ID,Customer_Age,Customer_Segment,Channel,Product_Category,Quantity,Unit_Price,Discount_Pct,Revenue,Gross_Profit,Marketing_Spend,Shipping_Cost,Return,Order_Status,Customer_Satisfaction,Payment_Method
ORD10280,2025-02-23,South,1139,39.0,SMB,Website,Sports,1,3808.0,15.0,3236.8,1035.78,2703.64,343.93,No,Delivered,3.6,Credit Card
ORD10556,2025-05-20,North,1055,30.0,Consumer,Website,Home & Kitchen,2,10075.0,5.0,19142.5,4594.2,2993.3,115.26,No,Delivered,4.4,UPI
ORD10365,2025-06-02,South,1047,29.0,Consumer,Marketplace,Home & Kitchen,2,8175.0,5.0,15532.5,3727.8,1876.58,360.11,No,Delivered,4.0,Debit Card
ORD10087,2025-01-15,North,1146,39.0,Consumer,Marketplace,Beauty,1,1745.0,5.0,1657.75,745.99,584.59,424.65,No,Delivered,4.3,Net Banking
ORD10011,2025-03-29,East,1141,36.0,Consumer,Website,Fashion,2,3206.0,15.0,5450.2,2071.08,2023.55,474.33,No,Delivered,3.9,Credit Card
ORD10172,2025-03-03,South,1043,48.0,Consumer,Mobile App,Electronics,1,28823.0,20.0,23058.4,3228.18,675.31,152.67,No,Delivered,4.2,Net Banking
ORD10108,2025-03-13,North,1149,48.0,SMB,Mobile App,Fashion,3,2834.0,5.0,8076.9,3069.22,2325.7,411.04,No,Delivered,5.0,Debit Card
ORD10004,2025-01-15,East,1079,32.0,Consumer,Marketplace,Home & Kitchen,1,9066.0,25.0,6799.5,1631.88,,296.09,No,Delivered,4.5,Net Banking
ORD10544,2025-04-15,South,1144,55.0,Consumer,Website,Electronics,1,24105.0,10.0,21694.5,3037.23,626.02,444.79,No,Delivered,4.5,Net Banking
ORD10049,2025-01-09,West,1051,18.0,Consumer,Mobile App,Home & Kitchen,1,8900.0,5.0,8455.0,2029.2,2987.78,376.36,No,Delivered,4.2,Debit Card
ORD10517,2025-06-11,South,1067,58.0,Consumer,Marketplace,Home & Kitchen,2,7565.0,15.0,12860.5,3086.52,1104.62,423.18,No,Delivered,3.7,Credit Card
ORD10539,2025-01-12,West,1122,33.0,SMB,Website,Fashion,5,3221.0,20.0,12884.0,4895.92,400.97,272.25,No,Delivered,3.8,UPI
ORD10580,2025-02-11,South,1089,35.0,SMB,Mobile App,Beauty,1,1631.0,10.0,1467.9,660.56,1087.57,410.33,No,Delivered,5.0,Debit Card
ORD10416,2025-01-13,South,1004,33.0,Consumer,Marketplace,Sports,4,3242.0,0.0,12968.0,4149.76,1340.99,199.2,No,Delivered,4.5,Debit Card
ORD10156,2025-04-18,South,1022,38.0,Enterprise,Website,Electronics,1,28181.0,0.0,28181.0,3945.34,2983.22,468.85,No,Delivered,4.3,Credit Card
ORD10279,2025-03-23,East,1142,30.0,Enterprise,Website,Beauty,4,1478.0,15.0,5025.2,2261.34,843.41,457.89,No,Delivered,5.0,Debit Card
ORD10368,2025-03-01,North,1144,49.0,Consumer,Mobile App,Beauty,1,2054.0,15.0,1745.9,785.66,527.51,138.67,Yes,Delivered,3.0,Debit Card
ORD10033,2025-06-24,West,1107,40.0,Consumer,Marketplace,Electronics,4,30596.0,5.0,116264.8,16277.07,683.38,153.78,No,Delivered,4.4,Debit Card
ORD10568,2025-04-09,East,1146,49.0,Consumer,Retail Store,Sports,2,3878.0,15.0,6592.6,2109.63,945.34,118.86,No,Delivered,4.9,Net Banking
ORD10378,2025-04-25,North,1105,48.0,Enterprise,Marketplace,Beauty,1,1970.0,10.0,1773.0,797.85,1698.81,473.82,No,Delivered,4.5,Debit Card
ORD10343,2025-04-14,South,1042,37.0,Consumer,Mobile App,Electronics,3,28848.0,0.0,86544.0,12116.16,1266.5,169.32,No,Delivered,5.0,COD
ORD10007,2025-01-21,North,1150,31.0,SMB,Marketplace,Fashion,1,3191.0,10.0,2871.9,1091.32,1914.17,231.08,No,Delivered,4.2,Debit Card
ORD10082,2025-01-24,South,1047,56.0,SMB,Website,Sports,3,3503.0,25.0,7881.75,2522.16,304.44,216.22,No,Delivered,4.0,UPI
ORD10547,2025-04-23,South,1051,50.0,SMB,Marketplace,Home & Kitchen,1,6747.0,5.0,6409.65,1538.32,1502.24,323.43,No,Delivered,4.4,COD
ORD10422,2025-05-25,North,1084,59.0,Consumer,Website,Sports,2,3248.0,15.0,5521.6,1766.91,488.24,295.39,No,Delivered,4.5,COD
ORD10376,2025-05-24,South,1096,44.0,Enterprise,Website,Electronics,1,29042.0,10.0,26137.8,3659.29,679.48,320.56,Yes,Delivered,3.3,Debit Card
ORD10600,2025-05-02,South,1001,50.0,Enterprise,Mobile App,Fashion,3,2963.0,5.0,8444.55,3208.93,2452.96,380.28,Yes,Delivered,3.4,UPI
ORD10145,2025-06-09,South,1115,45.0,Enterprise,Marketplace,Beauty,2,1455.0,10.0,2619.0,1178.55,465.85,140.29,No,Delivered,4.1,Credit Card
ORD10306,2025-01-27,South,1009,54.0,SMB,Website,Electronics,1,31979.0,5.0,30380.05,4253.21,2961.57,391.77,No,Delivered,3.9,Net Banking
ORD10582,2025-05-22,North,1116,24.0,SMB,Website,Home & Kitchen,1,6847.0,20.0,5477.6,1314.62,922.04,208.48,No,Delivered,4.8,Debit Card
ORD10192,2025-03-22,North,1037,36.0,SMB,Mobile App,Home & Kitchen,1,7975.0,15.0,6778.75,1626.9,2540.52,436.98,No,Delivered,4.4,Credit Card
ORD10599,2025-01-27,South,1014,43.0,Consumer,Retail Store,Fashion,2,2670.0,15.0,4539.0,1724.82,653.86,421.72,No,Cancelled,4.4,COD
ORD10454,2025-06-28,West,1145,43.0,SMB,Website,Home & Kitchen,1,6558.0,15.0,5574.3,1337.83,1447.37,321.05,Yes,Returned,3.3,Credit Card
